City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
370,isangel,-19.55,169.27,77.52,55,1,7.81,VU,1606686861
371,lodja,-3.48,23.43,67.68,94,97,1.01,CD,1606686861
372,libreville,0.39,9.45,80.6,88,75,8.05,GA,1606686861
373,ratnapura,6.68,80.4,74.39,83,80,1.19,LK,1606686861
374,castelo branco,39.82,-7.49,51.01,93,99,7.0,PT,1606686861
375,sterling,39.01,-77.43,55.0,50,1,5.82,US,1606686861
376,tabou,4.42,-7.35,79.07,82,58,3.78,CI,1606686798
377,terney,45.05,136.61,12.67,87,0,7.78,RU,1606686861
378,tommot,58.96,126.29,-0.45,90,100,10.2,RU,1606686861
379,fare,-16.7,-151.02,82.02,74,7,9.89,PF,1606686862
380,turtas,58.94,69.13,4.78,94,0,2.66,RU,1606686862
381,kargil,34.57,76.1,21.92,91,100,1.72,IN,1606686862
382,micheweni,-4.97,39.83,79.63,80,77,4.41,TZ,1606686862
383,henties bay,-22.12,14.28,57.99,90,5,4.61,NA,1606686862
384,adelaide,-34.93,138.6,69.01,52,0,2.24,AU,1606686766
385,teguldet,57.31,88.17,4.82,94,55,3.18,RU,1606686862
386,faanui,-16.48,-151.75,81.1,77,8,9.53,PF,1606686862
387,gat,31.61,34.76,57.99,82,0,2.24,IL,1606686863
388,garissa,-0.45,39.64,79.52,72,26,9.35,KE,1606686863
389,chicama,-7.84,-79.15,71.71,67,27,8.97,PE,1606686863
390,diffa,13.32,12.61,72.59,21,0,8.86,NE,1606686863
391,nemuro,43.32,145.57,34.3,84,23,9.53,JP,1606686863
392,baykit,61.67,96.37,3.58,90,97,3.02,RU,1606686863
393,bandarbeyla,9.49,50.81,76.48,78,0,11.36,SO,1606686864
394,talnakh,69.49,88.4,6.8,84,90,26.84,RU,1606686864
395,inzer,54.22,57.56,20.73,95,82,1.43,RU,1606686864
396,ambulu,-8.35,113.61,76.21,89,96,3.49,ID,1606686864
397,krasnoselkup,65.7,82.47,7.56,94,100,14.45,RU,1606686864
398,thinadhoo,0.53,72.93,81.68,69,25,7.16,MV,1606686864
399,narsaq,60.92,-46.05,23.0,53,100,3.36,GL,1606686864
400,dinguiraye,11.3,-10.72,77.72,32,96,3.31,GN,1606686864
401,tet,47.52,17.51,37.4,74,75,6.93,HU,1606686865
402,tomigusuku,26.18,127.67,68.0,64,75,18.34,JP,1606686865
403,shabo,46.13,30.39,41.0,86,90,6.71,UA,1606686865
404,omboue,-1.57,9.26,76.71,89,92,4.14,GA,1606686865
405,olinda,-8.01,-34.86,78.8,61,40,9.17,BR,1606686817
406,katsuura,35.13,140.3,48.2,66,40,6.93,JP,1606686865
407,bahia blanca,-38.72,-62.27,68.29,24,0,14.43,AR,1606686866
408,valparaiso,-33.04,-71.63,78.8,46,0,16.11,CL,1606686866
409,honiara,-9.43,159.95,80.6,83,75,5.82,SB,1606686644
410,acarau,-2.89,-40.12,80.53,75,85,16.53,BR,1606686866
411,belgrade,44.8,20.47,35.6,85,75,3.36,RS,1606686697
412,varnavino,57.4,45.09,31.6,99,100,8.61,RU,1606686866
413,ilulissat,69.22,-51.1,28.4,63,100,19.46,GL,1606686866
414,san carlos de bariloche,-41.15,-71.31,59.0,49,0,23.04,AR,1606686624
415,coquimbo,-29.95,-71.34,64.4,68,0,13.87,CL,1606686792
416,tual,-5.67,132.75,83.98,68,100,4.68,ID,1606686867
417,guerrero negro,27.98,-114.06,72.39,32,0,11.52,MX,1606686867
418,westport,41.14,-73.36,51.8,40,1,5.82,US,1606686661
419,hariana,31.64,75.84,55.78,38,0,1.9,IN,1606686867
420,trairi,-3.28,-39.27,80.65,75,86,11.65,BR,1606686867
421,abhar,36.15,49.22,40.01,88,99,4.72,IR,1606686867
422,marovoay,-16.1,46.63,82.4,78,40,4.7,MG,1606686867
423,durres,41.32,19.44,50.0,87,90,2.24,AL,1606686629
424,erdenet,49.03,104.08,1.42,89,1,3.33,MN,1606686868
425,zhezkazgan,47.8,67.71,1.58,91,0,8.1,KZ,1606686868
426,biak,-0.91,122.88,77.76,80,98,2.39,ID,1606686868
427,san rafael,-34.62,-68.33,76.71,25,0,14.99,AR,1606686868
428,balykshi,47.07,51.87,24.8,85,95,20.13,KZ,1606686868
429,karratha,-20.74,116.85,80.33,36,0,8.68,AU,1606686868
430,qujing,25.48,103.78,44.85,89,93,4.7,CN,1606686868
431,mpophomeni,-29.57,30.19,54.68,97,100,1.92,ZA,1606686869
432,bell ville,-32.63,-62.69,79.0,48,100,14.0,AR,1606686869
433,ranong,9.97,98.63,76.44,85,63,6.33,TH,1606686869
434,wanning,18.8,110.4,69.1,80,100,15.82,CN,1606686869
435,quatre cocos,-20.21,57.76,75.2,88,75,6.93,MU,1606686869
436,jaque,7.52,-78.17,80.04,78,83,2.28,PA,1606686869
437,north platte,41.12,-100.77,39.2,25,1,18.34,US,1606686869
438,smirnykh,49.75,142.83,17.31,92,100,4.79,RU,1606686869
439,sergeyevka,53.88,67.42,2.25,94,93,4.5,KZ,1606686870
440,akdepe,42.06,59.38,28.4,74,0,16.11,TM,1606686870
441,aksha,50.28,113.29,5.74,88,8,5.97,RU,1606686870
442,shitanjing,39.23,106.34,15.49,88,91,2.64,CN,1606686870
443,aykhal,66.0,111.5,-2.2,84,0,2.24,RU,1606686870
444,san clemente,33.43,-117.61,73.99,37,0,1.01,US,1606686789
445,schwedt,53.06,14.28,42.01,81,100,1.01,DE,1606686870
446,sidney,-33.87,151.21,69.01,64,75,10.29,AU,1606686702
447,grand-santi,4.25,-54.38,75.16,95,88,2.57,GF,1606686870
448,coihueco,-36.62,-71.83,78.8,19,0,14.99,CL,1606686871
449,quelimane,-17.88,36.89,80.6,83,0,8.05,MZ,1606686871
450,uige,-7.61,15.06,68.09,95,100,1.97,AO,1606686871
451,leon,21.12,-101.67,80.6,22,5,11.41,MX,1606686727
452,rosetta,31.4,30.42,59.0,87,40,3.36,EG,1606686871
453,sinnamary,5.38,-52.95,79.59,85,29,8.99,GF,1606686871
454,pevek,69.7,170.31,-2.22,93,100,6.26,RU,1606686871
455,alyangula,-13.85,136.42,78.8,94,70,1.12,AU,1606686872
456,quanzhou,24.91,118.59,64.4,63,75,13.42,CN,1606686872
457,ellisras,-23.66,27.74,72.61,76,34,17.29,ZA,1606686872
458,waitati,-45.75,170.57,51.01,87,100,13.0,NZ,1606686872
459,nueva londres,-25.4,-56.55,91.24,39,62,3.0,PY,1606686872
460,plouzane,48.38,-4.62,48.2,93,0,2.24,FR,1606686873
461,the valley,18.22,-63.06,82.4,69,20,8.05,AI,1606686873
462,matara,5.95,80.54,75.65,89,99,2.95,LK,1606686873
463,grand gaube,-20.01,57.66,75.0,82,2,4.0,MU,1606686873
464,pafos,34.77,32.42,59.0,77,40,8.05,CY,1606686873
465,newcastle,-32.93,151.78,69.01,72,90,10.29,AU,1606686817
466,agirish,61.92,63.02,12.92,94,0,6.51,RU,1606686873
467,oyem,1.6,11.58,68.65,90,46,2.26,GA,1606686648
468,labytnangi,66.66,66.42,18.23,92,100,15.64,RU,1606686873
469,fershampenuaz,53.52,59.81,9.5,93,0,1.12,RU,1606686874
470,los algarrobos,8.5,-82.43,86.0,70,40,9.17,PA,1606686874
471,victor harbor,-35.57,138.62,66.0,60,32,1.01,AU,1606686874
472,deloraine,-41.53,146.67,57.99,67,52,1.01,AU,1606686874
473,corinto,37.94,22.96,55.99,67,99,3.67,GR,1606686874
474,puerres,1.19,-77.27,58.39,88,71,1.48,CO,1606686874
475,chulym,55.1,80.96,4.73,94,84,1.95,RU,1606686874
476,maumere,-8.62,122.21,82.45,66,42,2.35,ID,1606686874
